t,x
5.18,-0.535827
5.185,-0.549826
5.19,-0.562083
5.195,-0.575847
5.2,-0.587785
5.205,-0.601299
5.21,-0.612907
5.215,-0.626157
5.22,-0.637424
5.225,-0.650398
5.23,-0.661312
5.235,-0.673997
5.24,-0.684547
5.245,-0.696931
5.25,-0.707107
5.255,-0.719177
5.26,-0.728969
5.265,-0.740713
5.27,-0.750111
5.275,-0.761519
5.28,-0.770513
5.285,-0.781572
5.29,-0.790155
5.295,-0.800855
5.3,-0.809017
5.305,-0.819347
5.31,-0.827081
5.315,-0.83703
5.32,-0.844328
5.325,-0.853888
5.33,-0.860742
5.335,-0.869902
5.34,-0.876307
5.345,-0.885059
5.35,-0.891007
5.355,-0.899341
5.36,-0.904827
5.365,-0.912737
5.37,-0.917755
5.375,-0.925231
5.38,-0.929776
5.385,-0.936813
5.39,-0.940881
5.395,-0.94747
5.4,-0.951057
5.405,-0.957191
5.41,-0.960294
5.415,-0.965969
5.42,-0.968583
5.425,-0.973793
5.43,-0.975917
5.435,-0.980656
5.44,-0.982287
5.445,-0.986551
5.45,-0.987688
5.455,-0.991472
5.46,-0.992115
5.465,-0.995415
5.47,-0.995562
5.475,-0.998376
5.48,-0.998027
5.485,-1.00035
5.49,-0.999507
5.495,-1.00134
5.5,-1
5.505,-1.00134
5.51,-0.999507
5.515,-1.00035
5.52,-0.998027
5.525,-0.998376
5.53,-0.995562
5.535,-0.995415
5.54,-0.992115
5.545,-0.991472
5.55,-0.987688
5.555,-0.986551
5.56,-0.982287
5.565,-0.980656
5.57,-0.975917
5.575,-0.973793
5.58,-0.968583
5.585,-0.965969
5.59,-0.960294
5.595,-0.957191
5.6,-0.951057
5.605,-0.94747
5.61,-0.940881
5.615,-0.936813
5.62,-0.929776
5.625,-0.925231
5.63,-0.917755
5.635,-0.912737
5.64,-0.904827
5.645,-0.899341
5.65,-0.891007
5.655,-0.885059
5.66,-0.876307
5.665,-0.869902
5.67,-0.860742
5.675,-0.853888
5.68,-0.844328
5.685,-0.83703
5.69,-0.827081
5.695,-0.819347
5.7,-0.809017
5.705,-0.800855
5.71,-0.790155
5.715,-0.781572
5.72,-0.770513
5.725,-0.761519
5.73,-0.750111
5.735,-0.740713
5.74,-0.728969
5.745,-0.719177
5.75,-0.707107
5.755,-0.696931
5.76,-0.684547
5.765,-0.673997
5.77,-0.661312
5.775,-0.650398
5.78,-0.637424
5.785,-0.626157
5.79,-0.612907
5.795,-0.601299
5.8,-0.587785
5.805,-0.575847
5.81,-0.562083
5.815,-0.549826
5.82,-0.535827
5.825,-0.523263
5.83,-0.509041
5.835,-0.496184
5.84,-0.481754
5.845,-0.468614
5.85,-0.45399
5.855,-0.440583
5.86,-0.425779
5.865,-0.412116
5.87,-0.397148
5.875,-0.383243
5.88,-0.368125
5.885,-0.353992
5.89,-0.338738
5.895,-0.324391
5.9,-0.309017
5.905,-0.294471
5.91,-0.278991
5.915,-0.264259
5.92,-0.24869
5.925,-0.233787
5.93,-0.218143
5.935,-0.203084
5.94,-0.187381
5.945,-0.172181
5.95,-0.156434
5.955,-0.141107
5.96,-0.125333
5.965,-0.109895
5.97,-0.0941083
5.975,-0.0785739
5.98,-0.0627905
5.985,-0.0471754
5.99,-0.0314108
5.995,-0.0157303
6,-7.34788e-16
6.005,0.0157303
6.01,0.0314108
6.015,0.0471754
6.02,0.0627905
6.025,0.0785739
6.03,0.0941083
6.035,0.109895
6.04,0.125333
6.045,0.141107
6.05,0.156434
6.055,0.172181
6.06,0.187381
6.065,0.203084
6.07,0.218143
6.075,0.233787
6.08,0.24869
6.085,0.264259
6.09,0.278991
6.095,0.294471
6.1,0.309017
6.105,0.324391
6.11,0.338738
6.115,0.353992
6.12,0.368125
6.125,0.383243
6.13,0.397148
6.135,0.412116
6.14,0.425779
6.145,0.440583
6.15,0.45399
6.155,0.468614
6.16,0.481754
6.165,0.496184
6.17,0.509041
6.175,0.523263
6.18,0.535827
6.185,0.549826
6.19,0.562083
6.195,0.575847
6.2,0.587785
6.205,0.601299
6.21,0.612907
6.215,0.626157
6.22,0.637424
6.225,0.650398
6.23,0.661312
6.235,0.673997
6.24,0.684547
6.245,0.696931
6.25,0.707107
6.255,0.719177
6.26,0.728969
6.265,0.740713
6.27,0.750111
6.275,0.761519
6.28,0.770513
6.285,0.781572
6.29,0.790155
6.295,0.800855
6.3,0.809017
6.305,0.819347
6.31,0.827081
6.315,0.83703
6.32,0.844328
6.325,0.853888
6.33,0.860742
6.335,0.869902
6.34,0.876307
6.345,0.885059
6.35,0.891007
6.355,0.899341
6.36,0.904827
6.365,0.912737
6.37,0.917755
6.375,0.925231
6.38,0.929776
6.385,0.936813
6.39,0.940881
6.395,0.94747
6.4,0.951057
6.405,0.957191
6.41,0.960294
6.415,0.965969
6.42,0.968583
6.425,0.973793
6.43,0.975917
6.435,0.980656
6.44,0.982287
6.445,0.986551
6.45,0.987688
6.455,0.991472
6.46,0.992115
6.465,0.995415
6.47,0.995562
6.475,0.998376
6.48,0.998027
6.485,1.00035
6.49,0.999507
6.495,1.00134
6.5,1
6.505,1.00134
6.51,0.999507
6.515,1.00035
6.52,0.998027
6.525,0.998376
6.53,0.995562
6.535,0.995415
6.54,0.992115
6.545,0.991472
6.55,0.987688
6.555,0.986551
6.56,0.982287
6.565,0.980656
6.57,0.975917
6.575,0.973793
6.58,0.968583
6.585,0.965969
6.59,0.960294
6.595,0.957191
6.6,0.951057
6.605,0.94747
6.61,0.940881
6.615,0.936813
6.62,0.929776
6.625,0.925231
6.63,0.917755
6.635,0.912737
6.64,0.904827
6.645,0.899341
6.65,0.891007
6.655,0.885059
6.66,0.876307
6.665,0.869902
6.67,0.860742
6.675,0.853888
6.68,0.844328
6.685,0.83703
6.69,0.827081
6.695,0.819347
6.7,0.809017
6.705,0.800855
6.71,0.790155
6.715,0.781572
6.72,0.770513
6.725,0.761519
6.73,0.750111
6.735,0.740713
6.74,0.728969
6.745,0.719177
6.75,0.707107
6.755,0.696931
6.76,0.684547
6.765,0.673997
6.77,0.661312
6.775,0.650398
6.78,0.637424
6.785,0.626157
6.79,0.612907
6.795,0.601299
6.8,0.587785
6.805,0.575847
6.81,0.562083
6.815,0.549826
6.82,0.535827
6.825,0.523263
6.83,0.509041
6.835,0.496184
6.84,0.481754
6.845,0.468614
6.85,0.45399
6.855,0.440583
6.86,0.425779
6.865,0.412116
6.87,0.397148
6.875,0.383243
6.88,0.368125
6.885,0.353992
6.89,0.338738
6.895,0.324391
6.9,0.309017
6.905,0.294471
6.91,0.278991
6.915,0.264259
6.92,0.24869
6.925,0.233787
6.93,0.218143
6.935,0.203084
6.94,0.187381
6.945,0.172181
6.95,0.156434
6.955,0.141107
6.96,0.125333
6.965,0.109895
6.97,0.0941083
6.975,0.0785739
6.98,0.0627905
6.985,0.0471754
6.99,0.0314108
6.995,0.0157303
7,8.57253e-16
7.005,-0.0157303
7.01,-0.0314108
7.015,-0.0471754
7.02,-0.0627905
7.025,-0.0785739
7.03,-0.0941083
